epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
155,1574.09,0.48245,0.42302,0.98032,0.65117,0.56194,0.56821,0.42276,1.20249,1.8818,1.64198,0.000264085,0.000264085,0.000264085
156,1583.42,0.46387,0.40601,0.96418,0.7475,0.47827,0.58293,0.44359,1.16228,1.7445,1.61017,0.000258585,0.000258585,0.000258585
157,1592.74,0.4628,0.39651,0.97106,0.68534,0.5214,0.58377,0.43838,1.16703,1.79269,1.62431,0.000253086,0.000253086,0.000253086
158,1602.14,0.45274,0.39244,0.96348,0.70794,0.50417,0.57712,0.43919,1.13793,1.7095,1.59111,0.000247586,0.000247586,0.000247586
159,1611.53,0.45079,0.39619,0.96565,0.76537,0.49496,0.58396,0.44303,1.14177,1.7971,1.59817,0.000242087,0.000242087,0.000242087
160,1620.98,0.45458,0.38792,0.97499,0.72192,0.48258,0.58119,0.43661,1.19679,1.91202,1.66223,0.000236587,0.000236587,0.000236587
161,1630.32,0.44737,0.39294,0.97031,0.81873,0.46244,0.58477,0.43929,1.18084,1.8379,1.6335,0.000231088,0.000231088,0.000231088
162,1639.9,0.45642,0.39131,0.96598,0.73163,0.50377,0.57649,0.41696,1.15312,1.87284,1.59681,0.000225589,0.000225589,0.000225589
163,1649.59,0.45438,0.38891,0.96713,0.67585,0.53247,0.57699,0.41778,1.20742,1.87,1.64832,0.000220089,0.000220089,0.000220089
164,1659.38,0.44471,0.38107,0.96687,0.61378,0.50273,0.54131,0.41268,1.20239,1.91746,1.65676,0.00021459,0.00021459,0.00021459
165,1669.09,0.44632,0.37671,0.95979,0.75084,0.4988,0.5693,0.43212,1.1777,1.8912,1.62776,0.00020909,0.00020909,0.00020909
166,1678.65,0.43566,0.36917,0.961,0.71676,0.52085,0.58239,0.4339,1.18658,1.85346,1.64685,0.000203591,0.000203591,0.000203591
167,1688.26,0.44161,0.38161,0.95801,0.69056,0.49983,0.56281,0.4224,1.19628,1.85249,1.66962,0.000198091,0.000198091,0.000198091
168,1697.91,0.43253,0.37869,0.96299,0.68553,0.48592,0.56301,0.42149,1.21206,1.90975,1.70123,0.000192592,0.000192592,0.000192592
169,1707.6,0.43918,0.37752,0.96252,0.68485,0.51,0.56586,0.42911,1.18481,1.92611,1.66276,0.000187092,0.000187092,0.000187092
170,1717.27,0.44291,0.3813,0.95996,0.64483,0.52245,0.55645,0.41281,1.18307,1.97442,1.65006,0.000181593,0.000181593,0.000181593
171,1726.9,0.42522,0.36069,0.95608,0.70486,0.50772,0.57805,0.42679,1.18948,1.9927,1.6554,0.000176094,0.000176094,0.000176094
172,1736.5,0.44061,0.37396,0.95548,0.6584,0.53913,0.56923,0.43294,1.15536,1.89133,1.62,0.000170594,0.000170594,0.000170594
173,1746.1,0.42346,0.37032,0.95631,0.61663,0.5504,0.56627,0.43395,1.18365,1.8941,1.65587,0.000165095,0.000165095,0.000165095
174,1755.82,0.42746,0.36828,0.95603,0.72212,0.50092,0.56576,0.43279,1.15209,1.84069,1.62302,0.000159595,0.000159595,0.000159595
175,1765.49,0.42192,0.35633,0.94781,0.71637,0.48206,0.55374,0.41783,1.2058,1.93928,1.68441,0.000154096,0.000154096,0.000154096
