epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
168,2210.38,0.37122,0.32166,0.94108,0.71136,0.54008,0.59904,0.46155,1.25581,1.93791,1.75562,0.000192592,0.000192592,0.000192592
169,2223.52,0.37354,0.32339,0.93633,0.66927,0.53886,0.5755,0.44601,1.26451,1.97626,1.74633,0.000187092,0.000187092,0.000187092
170,2236.19,0.3786,0.32475,0.937,0.65565,0.55367,0.57531,0.43928,1.25172,1.90678,1.71172,0.000181593,0.000181593,0.000181593
171,2248.82,0.36354,0.31518,0.93491,0.71784,0.48168,0.56405,0.43895,1.24366,2.00639,1.67914,0.000176094,0.000176094,0.000176094
172,2261.44,0.37315,0.32032,0.93496,0.71394,0.5003,0.56902,0.43827,1.2505,1.931,1.73709,0.000170594,0.000170594,0.000170594
173,2274.09,0.3578,0.311,0.93391,0.64711,0.55146,0.58176,0.45422,1.23027,1.89575,1.72025,0.000165095,0.000165095,0.000165095
174,2286.75,0.36596,0.31571,0.93557,0.64769,0.55496,0.57428,0.43682,1.2436,1.95083,1.73589,0.000159595,0.000159595,0.000159595
175,2299.44,0.35059,0.29813,0.92136,0.63924,0.52129,0.594,0.46197,1.22997,2.00963,1.69746,0.000154096,0.000154096,0.000154096
176,2312.19,0.35502,0.30658,0.92777,0.70431,0.51614,0.58885,0.4526,1.25037,1.9226,1.72567,0.000148596,0.000148596,0.000148596
177,2324.87,0.36608,0.30939,0.93483,0.66892,0.52477,0.57226,0.45128,1.24314,1.94703,1.7271,0.000143097,0.000143097,0.000143097
178,2337.64,0.34607,0.29846,0.92246,0.6637,0.50607,0.56154,0.43697,1.23441,1.91695,1.75277,0.000137597,0.000137597,0.000137597
179,2350.47,0.36108,0.31386,0.94396,0.70405,0.50545,0.56357,0.43706,1.27073,1.88098,1.79399,0.000132098,0.000132098,0.000132098
180,2363.14,0.33419,0.28912,0.92401,0.65488,0.51693,0.56301,0.44383,1.2685,1.92381,1.76108,0.000126598,0.000126598,0.000126598
